index,store,sector,zone
0,1S-28,15,7
1,3S-27,22,4
2,3S-15,9,4
3,3S-47,9,0
4,3S-17,9,4
5,3S-19,11,4
6,1S-14,26,7
7,1S-5,19,7
8,1S-26,13,7
9,1S-27,22,7
10,2S-31,16,5
11,3S-40,9,0
12,3S-4,16,4
13,1S-41,26,6
14,1S-33,1,6
15,2S-18,7,5
16,2S-9,7,5
17,2S-30,17,5
18,3S-31,16,4
19,3S-34,3,0
20,3S-35,16,0
21,3S-25,26,4
22,1S-6,19,7
23,1S-13,26,7
24,1S-30,16,6
25,2S-20,7,5
26,2S-17,7,5
27,2S-19,21,5
28,2S-22,7,5
29,2S-38,21,3
30,2S-21,7,5
31,2S-15,7,5
32,2S-12,7,5
33,2S-4,7,5
34,2S-5,7,5
35,3S-46,9,0
36,3S-11,9,4
37,1S-11,11,7
38,2S-14,18,5
39,2S-32,15,5
40,2S-42,7,3
41,3S-22,9,4
42,3S-39,26,0
43,3S-49,26,0
44,1S-29,13,6
45,1S-38,16,6
46,1S-4,19,7
47,3S-18,26,4
48,1S-8,9,7
49,2S-23,7,5
50,2S-41,16,3
51,3S-21,19,4
52,3S-23,18,4
53,3S-24,2,4
54,3S-29,16,4
55,3S-38,18,0
56,3S-28,16,4
57,1S-7,25,7
58,1S-44,18,6
59,1S-42,26,6
60,4S-9,10,2
61,2S-34,0,3
62,3S-30,17,4
63,1S-20,7,7
64,3S-20,21,4
65,3S-10,9,4
66,3S-6,23,4
67,3S-5,25,4
68,3S-8,9,4
69,4S-3,27,2
70,3S-45,9,0
71,3S-16,9,4
72,4S-6,7,2
73,1S-10,11,7
74,3S-9,9,4
75,2S-43,7,3
76,2S-50,7,3
77,2S-51,7,3
78,2S-10,7,5
79,2S-7,7,5
80,1S-25,14,7
81,2S-39,16,3
82,2S-16,7,5
83,3S-26,22,4
84,3S-37,18,0
85,1S-3,12,7
86,1S-45,12,6
87,3S-36,24,0
88,4S-31,27,1
89,3S-32,24,4
90,1S-19,7,7
91,4S-13,10,2
92,2S-33,8,5
93,1S-36,18,6
94,2S-6,7,5
95,1S-47,8,6
96,1S-35,16,6
97,2S-45,21,3
98,2S-48,15,3
99,2S-3,7,5
100,3S-3,20,4
101,1S-32,16,6
102,2S-25,17,5
103,3S-41,11,0
104,3S-43,9,0
105,4S-19,27,2
106,2S-24,16,5
107,2S-37,16,3
108,3S-48,9,0
109,2S-11,7,5
110,1S-18,7,7
111,1S-23,7,7
112,4S-24,10,1
113,2S-26,17,5
114,2S-27,17,5
115,2S-29,17,5
116,3S-42,9,0
117,1S-15,19,7
118,1S-16,11,7
119,2S-47,7,3
120,2S-36,12,3
121,4S-15,2,2
122,1S-34,15,6
123,4S-14,2,2
124,4S-5,27,2
125,4S-8,27,2
126,2S-46,16,3
127,4S-11,8,2
128,4S-10,13,2
129,1S-9,11,7
130,1S-12,11,7
131,4S-21,10,1
132,2S-40,16,3
133,4S-7,2,2
134,1S-46,12,6
135,1S-24,9,7
136,3S-50,23,0
137,2S-54,8,3
138,3S-14,9,4
139,2S-13,16,5
140,4S-26,13,1
141,4S-4,27,2
142,1S-31,18,6
143,1S-39,12,6
144,4S-23,10,1
145,1S-37,11,6
146,3S-54,20,0
147,3S-53,23,0
148,3S-52,24,0
149,4S-28,6,1
150,2S-8,15,5
151,1S-40,11,6
152,3S-7,13,4
153,1S-17,21,7
154,4S-25,5,1
155,4S-22,10,1
156,3S-13,26,4
157,4S-16,6,2
158,2S-35,20,3
159,2S-44,15,3
160,2S-49,15,3
161,4S-30,27,1
162,3S-12,16,4
163,4S-20,3,1
164,3S-44,19,0
165,3S-51,19,0
166,2S-28,17,5
167,4S-27,4,1
168,4S-17,6,2
169,4S-18,27,2
170,4S-29,6,1
