NodeID,StoreName,DEFAULTSTARTDATE,DEFAULTEXPIRYDATE,idx,PlazaUnitID,new_category
1S-3,I DO,2017-11-29 00:00:00,2020-08-28 00:00:00,85,1003A,配饰珠宝
1S-4,FILA,2017-08-29 00:00:00,2020-08-28 00:00:00,46,1003B,运动休闲
1S-5,Nike Kicks Lounge,2017-08-29 00:00:00,2020-08-28 00:00:00,7,1005A-1005B,运动休闲
1S-6,adidas originals,2014-11-29 00:00:00,2019-11-28 00:00:00,22,1006A,运动休闲
1S-7,云迹普洱,2018-11-29 00:00:00,2020-06-30 00:00:00,57,1006B,杂品集合
1S-8,Yatlas,2014-11-29 00:00:00,2020-05-15 00:00:00,48,1007A,男装
1S-9,Tommy Hilfiger,2014-11-29 00:00:00,2020-05-15 00:00:00,129,1007B,潮流时尚
1S-10,Gant,2017-01-01 00:00:00,2019-12-31 00:00:00,73,1008,潮流时尚
1S-11,GUESS,2014-11-29 00:00:00,2020-05-15 00:00:00,37,1009,潮流时尚
1S-12,Armani Exchange,2017-12-29 00:00:00,2020-12-28 00:00:00,130,1010B-1010A,潮流时尚
1S-13,Evisu,2014-11-29 00:00:00,2020-06-30 00:00:00,23,1011,潮流时尚
1S-14,G-STAR,2017-08-29 00:00:00,2020-08-28 00:00:00,6,1012A-1012B,潮流时尚
1S-15,AIGLE,2017-11-29 00:00:00,2020-08-28 00:00:00,117,1013,运动休闲
1S-16,Hazzys,2017-12-29 00:00:00,2020-08-28 00:00:00,118,1015A,潮流时尚
1S-17,VICTORIA'S SECRET,2019-06-29 00:00:00,2024-06-28 00:00:00,153,1016,家居家用
1S-18,ochirly,2014-11-29 00:00:00,2020-06-30 00:00:00,110,1017,女装
1S-19,tanni,2017-08-29 00:00:00,2020-08-28 00:00:00,90,1018A,女装
1S-20,MO&Co.,2017-09-22 00:00:00,2020-08-28 00:00:00,63,1018B,女装
1S-23,XII BASKET,2017-08-29 00:00:00,2020-08-28 00:00:00,111,1021-1022A,女装
1S-24,MAGMODE,2017-08-29 00:00:00,2020-08-28 00:00:00,135,1022B-1023,男装
1S-25,CASIO,2014-11-29 00:00:00,2021-08-28 00:00:00,80,1025,配饰珠宝
1S-26,星巴克,2014-11-29 00:00:00,2024-11-28 00:00:00,8,1057,休闲快餐与饮品
1S-27,小米之家,2018-03-29 00:00:00,2023-03-28 00:00:00,9,1058-1059,数码电子
1S-28,SEPHORA,2014-11-29 00:00:00,2022-11-28 00:00:00,0,1026,美妆护肤
1S-29,喜茶,2019-06-01 00:00:00,2024-05-31 00:00:00,44,1027-1028,休闲快餐与饮品
1S-30,CHARLES&KEITH,2014-11-29 00:00:00,2019-12-31 00:00:00,24,1029-1030,鞋品箱包
1S-31,Gabor,2018-03-29 00:00:00,2021-03-28 00:00:00,142,1031,鞋品箱包
1S-32,myomy,2019-10-01 00:00:00,2020-06-30 00:00:00,101,1032,配饰珠宝
1S-33,ZARA,2014-11-29 00:00:00,2026-11-28 00:00:00,14,次主力店1,潮流时尚
1S-34,innisfree,2014-11-29 00:00:00,2020-06-30 00:00:00,122,1033,美妆护肤
1S-35,PANDORA,2018-03-29 00:00:00,2021-03-28 00:00:00,96,1035-1036,配饰珠宝
1S-36,UGG,2017-08-29 00:00:00,2020-08-28 00:00:00,93,1037,鞋品箱包
1S-37,Miss Sixty,2014-11-29 00:00:00,2020-06-30 00:00:00,145,1038,潮流时尚
1S-38,SWAROVSKI,2017-08-29 00:00:00,2021-08-28 00:00:00,45,1039,配饰珠宝
1S-39,CRD,2019-08-29 00:00:00,2020-06-30 00:00:00,143,1050,配饰珠宝
1S-40,CK Underwear,2014-11-29 00:00:00,2020-06-30 00:00:00,151,1051A,家居家用
1S-41,CK JEANS,2014-11-29 00:00:00,2020-06-30 00:00:00,13,1051B,潮流时尚
1S-42,Moussy,2014-11-29 00:00:00,2019-11-28 00:00:00,59,1052A,潮流时尚
1S-44,GUCCI,2015-10-01 00:00:00,2020-09-30 00:00:00,58,1053,鞋品箱包
1S-45,BLOVE,2019-08-29 00:00:00,2020-06-30 00:00:00,86,1055,配饰珠宝
1S-46,Leysen1855 莱绅通灵,2017-08-29 00:00:00,2020-08-28 00:00:00,134,1056,配饰珠宝
1S-47,必胜客(1楼),2014-11-29 00:00:00,2024-11-28 00:00:00,95,1002-2055B,休闲快餐与饮品
2S-3,HopeShow,2014-11-29 00:00:00,2020-06-30 00:00:00,99,2001,女装
2S-4,OSANI,2014-11-29 00:00:00,2020-06-30 00:00:00,33,2002,女装
2S-5,SEDATE,2014-11-29 00:00:00,2020-06-30 00:00:00,34,2003,女装
2S-6,念奴娇,2017-08-29 00:00:00,2020-06-30 00:00:00,94,2005,女装
2S-7,飞鸟和新酒,2018-09-01 00:00:00,2020-08-28 00:00:00,79,2006,女装
2S-8,优贝施,2017-08-29 00:00:00,2020-06-30 00:00:00,150,2007,美妆护肤
2S-9,FIVE PLUS,2017-08-29 00:00:00,2020-08-28 00:00:00,16,2008,女装
2S-10,S.DEER,2017-08-29 00:00:00,2020-08-28 00:00:00,78,2009,女装
2S-11,LESS,2017-08-29 00:00:00,2020-08-28 00:00:00,109,2010,女装
2S-12,Donoratico,2014-11-29 00:00:00,2020-06-30 00:00:00,32,2011,女装
2S-13,Rebecca,2016-04-10 00:00:00,2020-06-30 00:00:00,139,2012,配饰珠宝
2S-14,GILLIVO,2014-11-29 00:00:00,2020-06-30 00:00:00,38,2013,鞋品箱包
2S-15,播,2014-11-29 00:00:00,2020-06-30 00:00:00,31,2015,女装
2S-16,JNBY,2014-11-29 00:00:00,2020-06-30 00:00:00,82,2016,女装
2S-17,CRZ,2017-08-29 00:00:00,2020-08-28 00:00:00,26,2017A,女装
2S-18,LeeMonsan,2017-08-29 00:00:00,2020-08-28 00:00:00,15,2017B,女装
2S-19,爱美丽生活馆,2017-08-29 00:00:00,2020-06-30 00:00:00,27,2018,家居家用
2S-20,LINCchic,2017-08-29 00:00:00,2020-08-28 00:00:00,25,2019A,女装
2S-21,miidii,2017-08-29 00:00:00,2020-08-28 00:00:00,30,2019B,女装
2S-22,范可儿,2018-09-21 00:00:00,2020-09-20 00:00:00,28,2020,女装
2S-23,ONE MORE,2014-11-29 00:00:00,2020-06-30 00:00:00,49,2021A,女装
2S-24,LNO,2017-08-29 00:00:00,2020-08-28 00:00:00,106,2021B,配饰珠宝
2S-25,Mini Peace,2014-11-29 00:00:00,2020-06-30 00:00:00,102,2022A,亲子
2S-26,gxg.kids,2014-11-29 00:00:00,2020-06-30 00:00:00,113,2022B,亲子
2S-27,jnby by JNBY,2017-08-29 00:00:00,2020-08-28 00:00:00,114,2023,亲子
2S-28,Little MO&CO.,2017-11-29 00:00:00,2020-11-28 00:00:00,166,2025A,亲子
2S-29,Hello kitty,2017-11-29 00:00:00,2020-11-28 00:00:00,115,2025B,亲子
2S-30,kids land,2014-11-29 00:00:00,2019-10-28 00:00:00,17,2056,亲子
2S-31,The Green Party,2014-11-29 00:00:00,2021-08-28 00:00:00,10,2057,杂品集合
2S-32,屈臣氏,2014-11-29 00:00:00,2022-11-28 00:00:00,39,2058,美妆护肤
